"","views","favorite","post_info","price","car_name","year","A.C","emission_class","seats_amount","horsepower","color","car_mileage..km","engine_capacity..cc","type_of_drive","doors","fuel","car_type","gearbox"
"6978",26,0,"yesterday",2450,"Renault Laguna",2007,"automatic A/C","Euro 5",5,131,"gray",300000,1900,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6979",92,1,"posted 2 weeks ago",3700,"Ford Mondeo",2007,"manual A/C","",5,125,"black",300000,1800,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6980",37,0,"posted 2 weeks ago",3300,"Fiat Bravo",2009,"manual A/C","Euro 4",5,120,"gray",300000,1600,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6981",351,1,"updated 3 days ago",3000,"Opel Astra H",2006,"automatic A/C","",5,120,"gray",300000,1900,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6982",149,0,"posted 2 weeks ago",2050,"Renault Laguna",2006,"automatic A/C","Euro 3",5,120,"gray",300000,1870,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6983",55,0,"posted a week ago",350,"Volkswagen Golf 3",1992,"no A/C","Euro 3",5,117,"blue",300000,1800,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"6984",36,0,"posted 3 days ago",1300,"Alfa Romeo 147",2003,"manual A/C","Euro 3",5,116,"black",300000,1910,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6985",113,0,"posted a week ago",950,"Alfa Romeo 147",2003,"manual A/C","",5,116,"teget",300000,1910,"front","2/3 doors","diesel","hatchback","manual, 5 speeds"
"6986",45,0,"posted a week ago",5300,"Peugeot 308",2012,"manual A/C","Euro 5",5,111,"white",300000,1560,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6987",133,1,"posted 2 days ago",400,"Citroen Xsara",2001,"manual A/C","Euro 3",5,109,"green",300000,1600,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"6988",143,3,"posted 3 weeks ago",1950,"Mercedes A 180",2005,"manual A/C","Euro 4",5,109,"black",300000,1991,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6989",347,6,"posted 2 weeks ago",650,"Opel Astra G",2003,"manual A/C","Euro 3",5,109,"blue",300000,1600,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"6990",440,19,"posted a week ago",500,"Peugeot 307",2004,"automatic A/C","Euro 3",5,109,"blue",300000,1997,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6991",710,15,"posted 3 weeks ago",1000,"Peugeot 307",2002,"automatic A/C","Euro 3",5,109,"green",300000,1600,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"6992",17,0,"posted 2 days ago",8800,"Volkswagen Golf 7",2014,"automatic A/C","Euro 5",5,109,"black",300000,1395,"front","4/5 doors","methane","hatchback","manual, 6 speeds"
"6993",1331,26,"updated 3 weeks ago",500,"Ford Focus",2001,"manual A/C","",5,107,"teget",300000,1600,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"6994",47,0,"posted a week ago",4400,"Renault Megane",2010,"automatic A/C","",5,106,"golden",300000,1500,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"6995",182,1,"posted 2 weeks ago",5800,"Audi A3",2009,"automatic A/C","Euro 4",5,105,"gray",300000,1895,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6996",27,0,"posted 3 days ago",6700,"Volkswagen Golf 6",2012,"automatic A/C","",5,105,"black",300000,1600,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6997",985,16,"updated yesterday",2500,"Audi A3",2004,"manual A/C","",5,102,"black",300000,1600,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"6998",565,0,"posted a week ago",300,"Audi A3",2000,"automatic A/C","Euro 3",5,101,"golden",300000,1900,"front","2/3 doors","diesel","hatchback","manual, 5 speeds"
"6999",186,3,"posted 3 weeks ago",1250,"Ford Focus",2003,"manual A/C","Euro 3",5,101,"blue",300000,1800,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"7000",126,2,"yesterday",550,"Skoda Fabia",2000,"manual A/C","Euro 3",5,101,"teget",300000,1900,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"7001",159,0,"posted 3 weeks ago",2300,"Volkswagen Golf 4",2002,"automatic A/C","",5,101,"multicolored",300000,1900,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"7002",739,11,"updated 2 weeks ago",400,"Audi 80",1992,"no A/C","Euro 2",5,90,"gray",300000,1997,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"7003",68,0,"posted a week ago",1100,"Lada Kalina",2007,"no A/C","",5,90,"gray",300000,1600,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"7004",132,3,"posted 6 days ago",2500,"Mercedes E 250",1988,"no A/C","Euro 1",5,90,"gray",300000,2500,"back","4/5 doors","diesel","limousine","manual, 5 speeds"
"7005",7374,21,"updated 4 days ago",999,"Volkswagen Golf 2",1988,"no A/C","Euro 2",5,90,"blue",300000,1785,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"7006",110,1,"posted 3 weeks ago",2500,"Daihatsu Sirion",2005,"manual A/C","Euro 4",5,88,"red",300000,1300,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"7007",581,6,"posted a week ago",500,"Toyota Corolla",1994,"no A/C","",5,88,"blue",300000,1400,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"7008",1101,18,"posted 4 weeks ago",300,"Volkswagen Golf 2",1988,"no A/C","",5,88,"red",300000,1600,"front","2/3 doors","petrol + gas","limousine","manual, 5 speeds"
